/([0-2][0-9]|3[0-1])\/(0[1-9]|1[0-2])\/20(0[5-9]|[1-9][0-9])
Violencia intrafamiliar 12/06/2004 Hernández, Ana
Armas 01/03/2005 Pérez, Susana
Drogas 22/10/2008 Hernández, Ernesto
Robo menor 15/03/2012 Pérez, Armando
Robo menor 27/12/2003 Cruz, Ana
Robo menor 29/01/2014 Ramírez, Matilda
Violencia intrafamiliar 05/01/2016 Cruz, Ana
Robo menor 15/01/2013 López, Armando
Armas 22/11/2009 Cruz, Matilda
Violencia intrafamiliar 21/01/2013 Ramírez, Matilda
Robo menor 08/06/2012 López, Ana
Drogas 02/06/2001 Pérez, Armando
Violencia intrafamiliar 03/06/2007 Hernández, Pedro
Robo menor 30/10/2001 Pérez, Ernesto
Violencia intrafamiliar 11/03/2001 Ramírez, Ernesto
Robo menor 31/12/2006 Cruz, Ana
Armas 21/2/2020 López, Matilda
Robo menor 13/02/2009 Pérez, Ana
Drogas 19/09/2018 Fernández, Pedro
Violencia intrafamiliar 30/06/2012 Cruz, Armando
Drogas 02/2/2009 Ramírez, Miguel
Armas 09/7/2001 Ramírez, Ernesto
Robo menor 07/09/2009 Cruz, Armando
Armas 04/08/2016 López, Miguel
Robo menor 28/01/2000 López, Susana
Violencia intrafamiliar 29/09/2010 Ramírez, Armando
Drogas 11/8/2008 Pérez, Miguel
Robo menor 15/3/2018 López, Susana
Robo menor 25/10/2019 Pérez, Armando
Armas 28/01/2000 Cruz, Matilda
Drogas 16/03/2005 Pérez, Ratón
Violencia intrafamiliar 30/11/2002 Cruz, Ernesto
Drogas 12/12/2024 Hernández, Pedro
Armas 24/08/2014 Pérez, Ana
Drogas 25/7/2011 Ramírez, Pedro
Drogas 27/11/2004 Cruz, Miguel
Drogas 17/8/2013 Juárez, Miguel
Armas 9/12/2008 Pérez, Miguel
Violencia intrafamiliar 12/03/2007 Juárez, Ernesto
Armas 13/01/2016 Cruz, Ana
Robo menor 17/08/2006 Pérez, Armando
Drogas 6/11/2016 Pérez, Miguel
Robo menor 23/06/2008 López, Ernesto
Robo menor 11/05/2012 Juárez, Armando
Armas 18/02/2017 Ramírez, Ana
Armas 07/09/2015 López, Ernesto
Robo menor 24/07/2007 Ramírez, Miguel
Armas 12/01/2018 López, Ana
Robo menor 03/02/2014 Cruz, Armando
Armas 18/11/2004 Cruz, Matilda
Drogas 16/01/1998 Cruz, Pedro
Robo menor 13/06/2018 López, Armando
Robo menor 17/08/2012 Juárez, Armando
Drogas 15/10/2004 López, Matilda
Robo menor 23/06/2015 Hernández, Matilda
Robo menor 04/01/2015 Pérez, Armando
Violencia intrafamiliar 12/09/2001 Hernández, Pedro
Armas 02/06/2002 Cruz, Ernesto
Violencia intrafamiliar 10/06/2016 Hernández, Armando
Robo menor 17/10/2005 Juárez, Armando
Robo menor 15/12/2020 Hernández, Ernesto
Violencia intrafamiliar 05/07/2019 Hernández, Ernesto
Drogas 29/06/2003 Juárez, Ernesto
Robo menor 23/06/2005 Cruz, Ernesto
Robo menor 08/01/2009 Ramírez, Susana
Drogas 31/05/2001 Juárez, Pedro
Drogas 27/08/2004 Ramírez, Ernesto
Drogas 13/11/1986 Hernández, Ana
Drogas 25/10/2018 Juárez, Miguel
Violencia intrafamiliar 27/12/2005 Juárez, Armando
Robo menor 18/07/2012 Hernández, Matilda
Violencia intrafamiliar 03/06/2012 Ramírez, Ana
Robo menor 21/11/2010 Juárez, Miguel
Robo menor 29/01/2014 Juárez, Matilda
Violencia intrafamiliar 30/04/2011 Pérez, Pedro
Robo menor 16/09/2010 Pérez, Ana
Armas 08/11/2004 Ramírez, Armando
Robo menor 17/01/2001 Pérez, Miguel
Drogas 28/5/2015 Hernández, Miguel
Drogas 13/2/2012 Ramírez, Ana
Violencia intrafamiliar 08/03/2005 Pérez, Pedro
Drogas 03/12/2002 Ramírez, Miguel
Robo menor 31/4/2006 Juárez, Matilda
Drogas 30/4/2006 Ramírez, Ana
Armas 24/03/2014 López, Ernesto
Robo menor 8/04/2015 Cruz, Pedro
Robo menor 18/05/2010 Cruz, Armando
Drogas 23/06/2002 Hernández, Ana
Armas 04/04/2002 Cruz, Miguel
Drogas 3/07/2017 López, Pedro
Violencia intrafamiliar 15/02/2016 Pérez, Ana
Violencia intrafamiliar 23/02/2019 Ramírez, Miguel
Armas 22/8/2017 Hernández, Susana
Armas 23/1/2005 Pérez, Ernesto
Armas 19/2/2005 Cruz, Armando
Robo menor 02/07/2011 Juárez, Matilda
Armas 29/06/2011 López, Ernesto
Drogas 25/12/2001 Cruz, Matilda
Drogas 17/12/2006 Cebolla, Shrek
Violencia intrafamiliar 12/04/2011 López, Ana
Violencia intrafamiliar 31/08/2013 Hernández, Armando
Drogas 11/9/2018 Hernández, Ana
Armas 05/11/2019 Ramírez, Ana
Violencia intrafamiliar 22/03/2016 Hernández, Matilda
Violencia intrafamiliar 09/08/2015 López, Armando
Violencia intrafamiliar 27/02/2020 Juárez, Pedro
Robo menor 04/03/2005 Pérez, Miguel
Violencia intrafamiliar 27/09/2003 Hernández, Pedro
Drogas 25/9/2014 Oesta, Aquín
Armas 31/7/2003 Hernández, Susana
Armas 25/9/2017 Cruz, Matilda
Violencia intrafamiliar 13/11/2018 Ramírez, Ernesto
Violencia intrafamiliar 18/05/2008 Ramírez, Ana
Robo menor 30/05/2007 López, Susana
Robo menor 02/09/2003 Hernández, Matilda
Armas 14/1/2012 Hernández, Susana
Armas 30/10/2015 López, Matilda
Robo menor 11/09/2004 Ramírez, Susana
Armas 04/05/2007 López, Ernesto
Robo menor 07/07/2020 Ramírez, Miguel
Drogas 18/1/2006 Juárez, Susana
Violencia intrafamiliar 19/12/2018 Pérez, Miguel
Drogas 27/11/2009 Bond, James
Robo menor 17/07/2005 Hernández, Miguel
Robo menor 22/04/2015 Ramírez, Pedro
Violencia intrafamiliar 09/01/2019 Ramírez, Matilda
Violencia intrafamiliar 28/02/2002 Cruz, Ernesto
Armas 13/02/2020 Pérez, Matilda
Robo menor 14/08/2018 Pérez, Susana
Robo menor 20/12/2008 Juárez, Miguel
Violencia intrafamiliar 22/10/2014 López, Susana
Violencia intrafamiliar 24/02/2015 Pérez, Armando
Robo menor 09/05/2011 Hernández, Armando
Robo menor 30/02/2009 López, Armando
Robo menor 20/09/2014 Cruz, Susana
Drogas 00/08/2007 López, Matilda
Drogas 30/10/2006 López, Ana
Robo menor 23/12/2010 Hernández, Pedro
Drogas 19/01/2016 Juárez, Matilda
Robo menor 10/12/2003 López, Miguel
Robo menor 26/10/2020 López, Matilda
Violencia intrafamiliar 19/11/2013 López, Ernesto
Armas 01/12/2008 Juárez, Ana
Robo menor 22/11/2014 Pérez, Pedro
Drogas 32/02/2011 Juárez, Matilda
Violencia intrafamiliar 27/03/2010 Ramírez, Pedro
Violencia intrafamiliar 15/06/2016 Cruz, Ana
Armas 10/12/2019 Pérez, Armando
Violencia intrafamiliar 30/07/2005 Cruz, Susana
Violencia intrafamiliar 16/05/2004 Pérez, Matilda
Armas 31/04/2020 López, Ernesto
Robo menor 27/09/2010 Cruz, Ernesto
Armas 20/06/2018 López, Susana
Armas 02/7/2016 López, Ernesto
Violencia intrafamiliar 20/06/2019 Cruz, Ernesto
Drogas 11/8/2002 López, Matilda
Drogas 19/07/2004 Pérez, Miguel
Drogas 14/5/2006 Hernández, Ceciia
Violencia intrafamiliar 25/07/2015 Ramírez, Susana
Armas 04/08/2015 Pérez, Susana
Armas 03/08/2016 Cruz, Matilda
Armas 19/05/2003 Ramírez, Armando
